Antes	Depois
20	25
15	17
15	20
14	19
15	18
21	21
12	22
23	25
17	21
18	19
16	20
19	20
13	14
18	21
18	23
17	22
9	11
13	16
23	25
12	15
15	18
8	28
9	20
10	15
9	24
9	26
15	17
13	21
9	16
20	22
15	14
18	26
8	22
14	18
12	29
10	12
9	28
18	23
17	15
19	21
13	25
18	26
14	13
19	23
16	15
19	24
9	29
19	25
17	29
9	14
18	21
13	28
14	19
13	25
19	17
15	29
19	13
11	18
20	17
8	18
14	16
18	14
14	21
10	12
15	21
20	23
12	17
15	17
20	15
16	16
11	23
13	16
20	26
15	29
14	18
14	27
16	19
15	18
9	14
8	22
20	20
11	29
11	19
18	28
15	28
9	22
11	16
10	14
18	15
8	26
13	29
14	27
17	29
16	14
18	16
19	17
20	17
15	18
18	20
19	20
